2026-07-03 14:04:48.923 | INFO     | N/A | 进入天气查询工具
2026-07-03 14:04:48.963 | INFO     | N/A | 🔍 执行混合检索 | Collection: attractions | Query: 海南 文化游 景点 历史文化 特色 | City: 海南
2026-07-03 14:04:49.871 | INFO     | N/A | 混合检索完成 → 召回 0 条
2026-07-03 14:04:49.915 | INFO     | N/A | 🔍 执行混合检索 | Collection: classic_routes | Query: 海南 交通 | City: None
2026-07-03 14:04:49.965 | INFO     | N/A | 混合检索完成 → 召回 8 条
2026-07-03 14:04:49.965 | INFO     | N/A | 开始重排序 Top-8 → Top-5
2026-07-03 14:04:50.119 | INFO     | N/A | ✅ 重排序完成，最终返回 5 条结果
2026-07-03 14:04:50.126 | INFO     | N/A | 🔍 执行混合检索 | Collection: attractions | Query: 海南 素食 不辣 景点 历史文化 特色 | City: 海南
2026-07-03 14:04:50.199 | INFO     | N/A | 混合检索完成 → 召回 0 条
2026-07-03 14:04:50.205 | INFO     | N/A | 🔍 执行混合检索 | Collection: user_plans | Query: 海南 文化游 游记 行程 | City: 海南
2026-07-03 14:04:50.251 | INFO     | N/A | 混合检索完成 → 召回 0 条
2026-07-03 14:04:50.263 | INFO     | N/A | 🔍 执行混合检索 | Collection: attractions | Query: 海南 文化游 景点 历史文化 特色 | City: 海南
2026-07-03 14:04:50.299 | INFO     | N/A | 混合检索完成 → 召回 0 条
2026-07-03 14:05:56.937 | INFO     | N/A | 🔍 执行混合检索 | Collection: attractions | Query: 海南文化游 | City: 三亚
2026-07-03 14:05:57.068 | INFO     | N/A | 混合检索完成 → 召回 2 条
